"control_1" "control_2" "control_3" "feStarved_1" "feStarved_2" "feStarved_3" "h2o2Treated_1" "h2o2Treated_2" "h2o2Treated_3" "feStarved_h2o2Treated_1" "feStarved_h2o2Treated_2" "feStarved_h2o2Treated_3"
"Afu3g13700" 794 541 815 10 16 15 128 545 284 13 7 10
"Afu6g11120" 813 785 636 752 716 830 1028 769 737 316 252 328
"Afu2g08230" 213 229 199 385 405 421 379 301 207 8189 7130 5627
"Afu1g05490" 5775 3752 3704 3820 4712 4596 5054 4709 3819 3802 2422 3301
"Afu3g04210" 16785 12876 13285 9051 11501 11825 15395 20373 14626 3427 1654 1971
"Afu3g02175" 158 144 185 1225 1463 1417 390 280 225 226 54 163
"Afu1g05260" 334 286 255 306 351 367 458 374 328 361 413 295
"Afu6g03390" 386 253 269 72 97 106 256 317 240 23 8 13
"Afu5g03950" 68 60 51 97 93 88 48 56 34 141 200 141
"Afu1g09220" 265 209 192 301 291 318 335 281 239 480 260 492
"Afu6g09300" 778 768 702 1027 1158 1155 1060 862 782 994 627 997
"Afu1g07300" 720 643 583 537 573 553 669 610 526 1387 732 1209
"Afu8g04860" 198 154 148 175 176 202 202 363 293 327 294 359
"Afu6g10680" 274 257 236 307 324 340 336 294 256 500 295 492
"Afu2g05810" 1982 1364 1246 646 1064 778 919 1120 868 1537 1231 1361
"Afu4g07870" 269 253 275 215 187 243 316 309 268 503 297 351
"Afu4g03230" 18 18 18 30 21 26 87 45 51 2 0 4
"Afu6g03950" 1347 1093 1034 2090 2398 2336 1900 1713 1280 3853 2611 3589
"Afu1g11545" 37 33 48 36 34 42 45 43 32 37 33 45
"Afu8g02800" 737 663 648 749 673 778 1076 821 670 562 693 483
"Afu2g10680" 5 10 4 2 2 2 4 1 4 1 0 0
"Afu7g04370" 93 70 58 204 182 165 145 92 67 139 10 105
"Afu7g04850" 12 6 16 38 27 33 22 22 17 27 17 39
"Afu5tL(UAA)1" 0 0 1 0 0 1 0 0 0 0 0 0
"Afu1g07450" 4849 4443 4537 7601 7922 9561 4772 5009 4099 7504 7589 7987
"Afu4g04010" 41 38 35 93 100 116 38 43 36 34 10 27
"Afu3g15070" 26 20 16 24 18 22 40 29 19 12 16 14
"Afu6g06770" 37536 31152 31073 27188 32731 34890 35681 36239 33597 5897 9485 7011
"Afu8g00370" 1115 1679 1438 5635 6226 8133 6058 3876 3760 962 737 1314
"Afu1g11280" 3 7 5 14 19 24 10 3 8 18 27 28
"Afu6g12960" 920 868 789 678 691 773 836 859 696 938 747 997
"Afu4g03580" 101 64 91 66 129 95 125 155 103 462 746 456
"Afu6g13405" 24 28 15 23 28 28 26 19 10 8 7 9
"Afu3g11420" 248 228 221 487 527 495 306 266 230 711 338 651
"Afu4g09740" 2563 2338 2267 2202 2235 2466 2798 2704 2327 1591 941 1554
"Afu4g07800" 390 360 343 627 685 725 590 469 428 250 50 198
"Afu6g09700" 56 630 668 5 11 7 2518 771 371 26 11 19
"Afu8g05000" 373 331 302 240 235 224 407 456 339 141 39 112
"Afu1g09600" 1251 1091 961 797 703 812 1645 1347 1244 828 374 816
"Afu6g09200" 290 399 326 46 22 37 1602 1329 1043 24 15 25
"Afu1g13070" 426 529 451 486 504 662 604 591 490 246 186 209
"Afu6g11420" 69 60 63 77 54 50 150 92 74 18 13 14
"Afu6g03360" 18 24 21 15 16 20 36 26 19 9 6 8
"Afu2g13630" 1508 1188 1202 4476 4510 5146 1689 2126 1647 3185 2239 3234
"Afu2g04470" 1311 1138 1674 998 1122 1093 1039 1339 990 881 2098 1142
"Afu1g08780" 125 111 88 161 96 122 170 130 115 131 185 135
"Afu1g06740" 416 334 315 338 390 426 356 273 286 2206 2249 2385
"Afu6g13840" 144 101 116 263 216 257 194 166 145 182 63 217
"Afu8g04120" 188 175 183 410 406 392 166 348 203 799 486 961
"Afu6g07430" 9371 7759 7439 10055 11177 11715 8087 8195 6433 2929 2648 2729
"Afu2g06310" 1820 1574 1431 3154 3088 3826 2416 2257 1819 2900 3785 2703
"Afu5g03040" 1398 1353 1305 2063 2323 2475 1406 1356 1094 5698 4951 5826
"Afu1g09330" 2299 2263 1946 1709 1781 1977 2613 2581 2256 1127 730 994
"Afu2g16230" 12710 8015 8099 3093 4869 4343 7687 6601 5717 2987 1288 2766
"Afu2g00720" 4059 4337 3398 2000 2478 2352 2775 2811 2455 847 503 916
"Afu1g01460" 16 38 20 48 43 48 40 43 41 17 14 11
"Afu2g11730" 1284 1094 1054 1050 1555 1485 1036 988 825 461 247 376
"Afu1g17750" 181 173 151 286 225 266 254 201 178 125 72 136
"Afu6g13310" 1172 1032 839 2463 2087 2249 1964 1384 1058 2384 876 2308
"Afu2g01180" 142 157 133 147 161 169 185 178 164 54 28 58
"Afu4g14060" 1142 695 766 3469 3712 3831 1927 1475 1077 62 304 64
"Afu5g01010" 144 133 150 619 587 728 273 244 209 172 533 182
"Afu5g06090" 1204 1145 988 827 1066 983 1652 1379 1097 958 873 878
"Afu6g11960" 0 0 0 2 0 0 1 1 0 0 0 1
"Afu3g14660" 482 292 318 367 377 387 424 258 246 107 140 117
"Afu6g09910" 195 162 145 411 371 371 338 225 188 52 34 51
"Afu5g07050" 3740 3205 3038 2547 2537 2655 4279 3813 3276 5291 4842 4913
"Afu7g02340" 2421 1759 1825 3254 3212 3709 1784 1899 1490 837 284 833
"Afu1g14710" 483 319 340 1123 1014 1099 546 438 377 693 157 646
"Afu4g12290" 99 112 83 131 164 169 164 156 105 173 72 170
"Afu1g01640" 1443 1171 1125 2114 2050 2068 1228 2251 1468 2762 1364 2863
"Afu6g13450" 459 358 324 290 298 310 373 332 262 756 276 837
"Afu3g06180" 904 778 782 655 687 744 978 996 701 1273 745 1123
"Afu1g10720" 312 284 194 347 393 378 553 432 344 108 59 68
"Afu8g07250" 0 0 0 0 0 1 1 0 0 0 0 0
"Afu8g05170" 670 352 422 359 467 421 531 634 456 950 463 813
"Afu6g04530" 1985 1391 1294 1905 1812 1795 1729 1529 1202 2027 1710 1863
"Afu4g00750" 216 200 219 3328 3190 3820 1919 3619 2202 114 64 90
"Afu3g03260" 52 45 36 1400 1754 1675 83 66 73 1886 11852 1404
"Afu6g14460" 546 435 434 1697 1436 1677 761 739 644 1548 608 1658
"Afu1g04770" 352 247 214 534 512 536 439 351 253 236 76 208
"Afu3g07980" 4041 2226 2395 858 957 835 1930 2327 1762 2543 1146 2184
"Afu4g06110" 29 20 22 59 51 47 56 36 32 57 21 64
"Afu8g05890" 27 58 61 3 2 2 623 106 119 18 8 7
"Afu6g03550" 5 6 6 11 6 12 9 12 10 0 0 2
"Afu4g08560" 328 275 262 614 559 622 444 329 291 255 76 240
"Afu2g03490" 4057 3038 3177 1707 2020 1862 2587 2284 2147 7079 5157 6935
"Afu6g09560" 0 1 0 3 0 1 0 0 0 0 0 0
"Afu7g06070" 20 9 14 43 45 47 7 11 7 89 569 119
"Afu2g16180" 547 443 422 206 280 266 697 666 475 46 95 27
"Afu6g10550" 370 334 299 937 889 946 723 490 409 1537 1009 1354
"Afu5g11300" 371 418 304 86 86 95 473 371 356 44 80 43
"Afu1g03690" 241 233 188 217 213 252 310 213 194 57 18 51
"Afu5g11080" 411 446 352 782 821 1071 501 464 397 647 573 610
"Afu6g03800" 68 63 41 113 68 105 138 69 55 74 41 43
"Afu4g00900" 13 21 21 150 126 205 36 77 46 172 207 193
"Afu8g05760" 197 203 198 48 84 83 330 286 233 29 15 17
"Afu8g02730" 1727 1269 1332 1760 1760 1925 2625 2370 1938 1341 579 1365
"Afu2g00400" 12 10 3 1 4 7 2 6 4 5 9 4
"Afu5g11440" 13 14 19 23 22 28 28 17 12 1 1 5
"Afu2g03950" 8070 5980 6066 7295 8621 9267 8297 6993 6014 5306 6702 5190
"Afu1g14610" 3732 1953 2167 2398 2810 2806 2733 2993 2065 3768 4395 3396
"Afu8g06790" 0 0 0 0 0 1 1 0 0 0 0 0
"Afu3g07670" 600 473 442 648 708 739 686 571 427 752 367 749
"Afu2g15975" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu4g09220" 1688 1187 1097 216 268 225 993 923 907 217 30 178
"Afu1g15400" 390 324 352 648 587 628 560 416 312 1083 590 1163
"Afu5g02190" 146 159 117 97 98 103 218 123 118 1152 1497 1144
"Afu2g14840" 285 228 223 254 240 226 367 299 207 116 75 55
"Afu3g12170" 673 348 268 45 59 55 311 183 205 197 750 173
"Afu2g02720" 121 125 132 39 43 39 197 126 126 39 41 21
"Afu6g07780" 6828 4879 4756 5117 6514 6471 4200 4321 3584 2496 1941 2430
"Afu1g07555" 38 33 28 16 10 20 46 24 27 5 1 4
"Afu4g11190" 1593 1348 1311 2471 2244 2671 1582 1790 1466 3077 1346 2917
"Afu6g11770" 1 2 0 3 5 4 1 0 2 2 0 1
"Afu1g13590" 2174 1515 1580 1595 1805 1691 2252 2282 1769 2498 1427 2342
"Afu2g02275" 4251 3815 3646 5617 5533 6304 5663 4764 4005 2795 1949 2996
"Afu2g06200" 734 572 593 838 861 922 924 873 709 1140 751 986
"Afu4g07220" 1419 1311 1113 1223 1424 1569 1573 1471 1237 1157 787 1035
"Afu4g02880" 656 609 561 693 729 841 984 875 769 743 431 625
"Afu3g01800" 125 126 93 14 32 24 144 125 115 25 31 20
"Afu6g08960" 2719 2366 2285 2549 2373 2922 3512 3070 2666 6009 2696 7258
"Afu5g01360" 429 444 378 253 214 260 362 451 404 128 101 120
"Afu5g01210" 36 30 28 1 5 1 8 8 7 2 6 1
"Afu3g08000" 944 717 722 779 904 861 981 899 706 792 474 802
"Afu5g09900" 0 8 2 2 0 3 3 4 0 0 5 0
"Afu5g00680" 511 480 402 141 143 189 548 465 430 44 11 31
"Afu3g10250" 1387 1034 950 733 920 961 1224 1067 888 227 549 224
"Afu6g09353" 40 30 31 147 95 127 62 43 31 27 44 18
"Afu2g01370" 22 20 12 29 26 30 45 16 19 12 11 6
"Afu4g01170" 3 9 9 106 97 123 48 45 29 16 12 12
"Afu5g09460" 497 448 437 1079 1241 1349 695 613 444 1028 715 1053
"Afu7g07010" 51 77 63 27 42 36 125 127 92 35 123 40
"Afu5g04135" 407 310 229 198 223 192 842 316 337 132 57 96
"Afu1g10890" 176 168 130 117 115 105 205 154 138 26 6 22
"Afu1g04700" 1838 1535 1446 2120 2319 2494 2065 2036 1527 985 832 1012
"Afu7g05180" 672 3060 2682 45 46 58 11985 5558 7609 17 19 19
"Afu6g13880" 92 94 77 131 93 105 180 122 106 70 27 39
"Afu2g02140" 172 182 142 259 201 243 324 243 191 263 129 221
"Afu8g00730" 706 563 529 566 624 573 777 748 618 1506 1146 1515
"Afu1g17020" 271 225 190 215 209 191 338 222 201 91 341 78
"Afu8g07400" 7 2 1 0 0 0 0 1 0 0 3 1
"Afu1g15390" 675 622 546 1157 1071 1201 990 739 719 2268 1662 2362
"Afu1g11670" 305 266 228 399 324 424 457 300 271 302 169 275
"Afu4g12510" 272 577 513 474 394 722 1263 1957 1570 76 106 83
"Afu2g13760" 1895 1324 1366 1431 1685 1609 2530 2222 1902 907 604 806
"Afu1g16310" 89 65 60 213 162 136 156 72 62 731 828 584
"Afu4g10180" 899 778 719 471 526 479 915 872 697 134 82 136
"Afu2g18080" 27 27 36 33 45 44 53 35 24 37 59 26
"Afu1g14800" 2082 1761 1569 590 928 782 7592 1312 1887 90 46 101
"Afu3g02290" 7 2 5 9 7 8 7 2 3 2 5 2
"Afu2g00550" 0 1 2 21 21 30 1 3 0 10 11 12
"Afu5g14960" 238 207 206 494 444 511 334 353 294 1022 714 1281
"Afu2g17190" 506 507 413 480 640 586 721 668 502 572 401 564
"Afu8g05830" 117 74 65 184 152 162 134 131 97 52 33 45
"Afu4g06410" 1150 857 889 424 590 548 1332 1313 1119 3989 4735 4134
"Afu4g03100" 758 595 479 894 869 1003 776 668 517 4717 11790 5026
"Afu8g06190" 43 35 32 39 47 54 60 59 44 28 34 26
"Afu4g03480" 103 96 80 49 62 57 165 155 83 385 272 379
"Afu5g00750" 10 9 13 66 72 67 24 19 12 8 2 5
"Afu1g04480" 330 249 247 601 483 407 718 531 395 1490 932 1186
"Afu3g02230" 27 29 20 79 57 71 50 14 25 95 44 85
"Afu7g00390" 356 280 303 290 276 318 473 284 272 442 310 301
"Afu3g09610" 264 286 231 281 257 271 516 379 321 446 319 437
"Afu1g13060" 1211 1103 984 1397 1709 1657 1789 1616 1225 1998 1759 1843
"Afu5g11350" 342 287 299 636 577 582 553 385 291 958 622 1006
"Afu2tE(UUC)4" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu5g13680" 5 2 3 6 2 5 6 2 2 4 2 0
"Afu7g04030" 12 7 3 12 9 5 8 2 7 16 5 8
"Afu4g14220" 131 83 101 123 164 187 136 147 116 185 328 202
"Afu6g04390" 1718 1532 1361 2001 2075 2307 2348 1988 1685 3554 2346 3367
"Afu1g01660" 48 52 36 34 35 41 52 76 46 15 3 4
"Afu2g15120" 16 17 11 12 16 10 24 25 28 3 9 6
"Afu3g00410" 50 33 39 93 81 108 58 35 56 38 20 47
"Afu5g10600" 816 784 706 1031 965 1084 834 814 725 437 297 443
"Afu2g14547" 1 6 4 4 4 10 11 9 3 26 42 28
"Afu6g05140" 4499 4483 4712 19612 23030 26760 4324 4632 3710 24380 25350 28768
"Afu2g17000" 10511 7422 7150 2163 3154 2583 4345 4695 3901 590 581 409
"Afu5g06170" 517 498 477 394 375 416 452 527 394 127 90 148
"Afu2g10560" 1548 1741 1580 736 795 755 3291 2656 2174 95 61 61
"Afu2g15430" 1933 4313 3533 852 1010 1000 3123 2496 2299 5099 6655 4743
