"control_1" "control_2" "control_3" "feStarved_1" "feStarved_2" "feStarved_3" "h2o2Treated_1" "h2o2Treated_2" "h2o2Treated_3" "feStarved_h2o2Treated_1" "feStarved_h2o2Treated_2" "feStarved_h2o2Treated_3"
"Afu2g13930" 86 38 58 216 149 222 44 74 51 3525 6034 4257
"Afu6g12770" 2114 2242 2213 1219 1286 1440 2930 2416 1911 2043 715 1955
"Afu2g09720" 51 68 90 71 95 78 100 95 64 55 53 38
"Afu2g15080" 359 281 265 455 467 499 622 416 340 262 126 223
"Afu2g14250" 788 656 616 994 1031 1144 1356 1134 934 1001 1363 929
"Afu7g06010" 611 546 468 538 503 535 533 465 346 231 148 247
"Afu2g09282" 90 71 67 358 242 380 198 219 187 231 283 198
"Afu1g13520" 378 397 368 444 427 486 522 427 384 421 454 334
"Afu1g06360" 145 110 85 217 183 176 185 187 137 105 47 98
"Afu3g01730" 0 2 0 2 0 0 1 1 1 1 0 1
"Afu2g07440" 520 579 523 759 748 825 860 752 680 439 610 477
"Afu8g00850" 677 485 466 385 408 427 567 634 506 106 19 68
"Afu5g05920" 3704 3183 3097 3289 3320 3549 4000 4553 3690 3079 1437 2762
"Afu3g12120" 2755 2105 2151 639 936 897 4173 2983 2650 95 34 81
"Afu1g10550" 307 328 250 315 313 311 354 325 319 467 383 494
"Afu1g02550" 17178 13691 13336 9805 11583 11097 13071 13786 11492 2335 1738 1522
"Afu6g13500" 2038 1673 1582 686 813 765 1310 1356 1112 596 1282 658
"Afu3g10870" 22 14 14 16 22 19 39 24 9 33 16 34
"Afu7g05940" 237 210 183 217 295 248 262 266 198 386 223 439
"Afu4g14460" 4 7 2 6 10 7 6 4 4 13 68 5
"Afu2g12700" 43 69 65 75 92 108 206 268 200 40 108 66
"Afu5g09430" 336 395 337 637 671 736 470 657 492 236 349 158
"Afu8g00750" 39 40 39 17 15 15 65 51 41 16 8 7
"Afu1g05330" 225 163 130 237 193 173 378 265 190 183 39 159
"Afu8g06830" 207 158 151 599 763 732 125 127 119 351 430 270
"Afu4g05960" 225 245 184 398 289 336 475 287 225 346 130 340
"Afu1g16320" 229 197 174 515 552 527 407 316 224 817 314 719
"Afu6g02140" 302 277 226 262 242 288 499 317 223 472 193 431
"Afu4g09860" 126 106 107 163 188 196 210 174 119 93 43 77
"Afu4g08400" 287 210 268 1834 1608 1990 379 319 276 127 167 212
"Afu5g08850" 664 615 514 708 878 938 773 621 578 1055 767 1070
"Afu2g00210" 589 538 545 62 61 74 286 239 219 211 367 204
"Afu1g04080" 1468 1118 1082 1004 1098 1072 1865 1490 1308 891 444 714
"Afu2g17730" 20 25 28 29 35 31 31 33 20 43 19 43
"Afu2g06050" 665 527 539 877 1017 1019 936 756 589 1773 1880 1524
"Afu7g01490" 5011 2520 2519 715 583 600 1791 3717 2482 288 179 147
"Afu2g12190" 576 515 473 421 510 525 566 502 438 569 401 617
"Afu7g05010" 47 34 37 51 49 64 31 39 32 85 171 93
"Afu7g02100" 1627 1587 1482 1741 1865 1999 1452 1442 1209 1045 532 1016
"Afu7g05970" 1807 1434 1354 2144 2293 2394 1965 1906 1422 2851 1941 2809
"Afu4g00360" 710 606 497 755 655 701 841 638 531 910 612 807
"Afu5g04150" 922 845 743 1047 1069 1153 1223 1058 999 1173 443 1108
"Afu2g14360" 1082 642 599 976 1443 1339 917 852 752 235 239 211
"Afu6tT(UGU)3" 0 1 2 0 0 0 1 0 0 0 0 0
"Afu3g11000" 1088 813 821 1439 1633 1474 1410 1198 880 2529 1602 2250
"Afu6g06650" 235 188 126 601 577 638 273 169 149 187 101 188
"Afu3g13465" 55 58 41 51 44 49 71 70 50 29 12 28
"Afu6g04575" 19 14 11 16 12 19 17 15 13 6 16 6
"Afu2g02165" 449 422 366 386 345 399 598 481 396 161 63 111
"Afu7g01810" 158 148 107 81 112 134 155 131 101 386 363 400
"Afu4g08490" 332 316 307 59 84 73 613 463 414 136 182 122
"Afu3g13570" 2 3 5 19 20 16 6 2 5 4 5 0
"Afu3g04310" 2803 2483 2356 3211 3385 3836 3373 3288 2592 2312 2397 2331
"Afu3g10800" 4310 4505 3935 2529 3413 4058 3178 4032 3339 247 271 179
"Afu7g06590" 514 328 349 248 215 233 325 384 287 280 409 286
"Afu6g07240" 11 10 16 23 22 22 26 9 10 21 5 19
"Afu2g16780" 538 381 406 601 653 668 613 595 406 422 268 355
"Afu1g04120" 350 335 348 656 704 796 357 409 320 661 612 740
"Afu2g10630" 14 10 15 11 19 8 22 16 14 13 3 17
"Afu3g01990" 184 220 246 171 193 210 508 359 304 37 18 51
"Afu6g02770" 540 504 457 461 543 601 785 497 429 376 174 396
"Afu2g14150" 994 1020 766 273 273 268 1887 843 905 452 347 413
"Afu6g09745" 255 1965 2133 76 108 109 6034 2204 1153 53 47 53
"Afu5g13280" 1155 1113 1063 1804 1995 2199 1098 1247 981 2246 1942 2186
"Afu3g13720" 16 9 9 6 1 4 4 5 8 2 1 1
"Afu6g02940" 765 678 623 1363 1493 1522 1035 867 720 866 502 720
"Afu2g00520" 19 30 20 49 44 34 26 15 18 3 3 2
"Afu8g03910" 774 673 587 1005 915 1040 1384 1116 874 1435 1526 1357
"Afu6g09980" 1785 1459 1298 1991 2561 2403 2572 1944 1585 2880 1653 2462
"Afu3g06980" 402 333 311 358 289 372 616 465 448 121 85 141
"Afu6g12780" 670 2986 3109 214 271 167 4436 2917 1962 341 120 426
"Afu3g11890" 10 16 12 41 51 35 40 29 20 53 19 58
"Afu3g15140" 212 196 187 163 198 201 257 155 158 34 43 29
"Afu1g02600" 2718 2127 2117 3105 3266 3600 3416 3597 2934 1107 791 753
"Afu1g11960" 4835 4739 4509 5303 6513 7606 4044 4836 4087 494 1582 521
"Afu3g06260" 7154 4581 4440 4014 4481 4420 7523 6119 5317 19823 23037 17794
"Afu2g04400" 1132 826 742 1549 1896 1751 935 873 684 388 187 298
"Afu1g06540" 239 198 184 375 390 390 293 238 243 182 62 184
"Afu7g00560" 3 2 1 11 6 4 0 1 3 1 2 0
"Afu7g00860" 1 1 1 5 4 2 3 3 1 0 1 0
"Afu1tM(CAU)1" 0 0 0 0 0 0 0 0 1 0 0 0
"Afu4g13710" 352 294 244 366 310 299 446 406 291 278 119 200
"Afu3g12030" 257 221 219 428 427 466 371 295 268 539 259 532
"Afu5g01090" 188 125 113 115 115 112 72 96 66 46 49 39
"Afu5g10510" 3778 3121 3301 11042 12181 13474 2884 5594 3868 8196 5795 7998
"Afu4g14820" 1335 1562 1395 211 353 249 3238 2794 2240 15 6 10
"Afu3g06990" 182 152 135 307 246 267 375 224 184 216 137 192
"Afu4g12730" 1508 1499 1270 1778 1656 1968 2931 2108 1863 270 71 202
"Afu3g07730" 326 288 205 33 21 34 700 250 305 27 13 19
"Afu5g11040" 1070 906 842 643 720 749 830 962 739 388 154 347
"Afu6g06940" 188 146 139 373 343 342 353 218 170 170 63 139
"Afu7g01480" 2233 1976 1892 2124 2234 2466 2700 2562 2143 1449 914 1358
"Afu1g01220" 9 5 8 0 1 0 9 4 4 4 3 0
"Afu6g02450" 8503 7750 7368 5451 6030 6339 9097 9158 7728 4366 2631 4105
"Afu4g08200" 400 364 340 685 595 694 583 507 369 219 75 215
"Afu5g01790" 20 23 14 12 28 14 30 35 15 22 15 22
"Afu2g11240" 330 306 303 367 352 384 424 326 243 518 633 630
"Afu2g01410" 1024 547 541 450 492 492 291 307 271 1525 1684 1660
"Afu8g04100" 202 70 61 128 125 115 81 75 66 582 66 403
"Afu5g06740" 799 625 622 1040 1220 1157 1132 881 661 705 436 590
"Afu6g09820" 711 702 620 471 527 643 596 615 595 194 209 191
"Afu1g15530" 54 39 34 288 247 281 78 82 78 128 42 123
"Afu4g00850" 3 1 2 6 8 8 5 1 3 3 4 2
"Afu4g09210" 223 140 91 66 96 56 92 118 101 34 35 32
"Afu2tD(GUC)4" 0 1 1 0 0 0 0 1 0 1 1 0
"Afu1g10190" 778 619 481 783 729 730 921 786 629 1678 1902 1577
"Afu5g11120" 394 396 363 320 343 386 497 474 460 98 117 93
"Afu2g14230" 150 121 101 182 222 196 171 115 74 9 3 10
"Afu1g01670" 26 29 18 28 22 28 43 46 29 15 5 13
"Afu4g12160" 2701 2306 2204 1697 2050 2173 3045 2731 2359 648 498 604
"Afu4g13040" 362 326 280 497 506 478 431 358 276 336 130 326
"Afu1g17170" 504 293 276 117 83 77 32 46 31 120 155 101
"Afu6g02150" 186 186 162 230 304 284 364 260 183 351 172 300
"Afu5g01110" 1 2 2 0 2 4 1 1 0 0 0 0
"Afu5g06680" 11476 11678 10545 1907 2656 2130 25844 21895 19892 567 153 311
"Afu1g15730" 10080 9654 8852 3956 4166 4721 8667 10068 8550 1244 551 986
"Afu6g14450" 15 16 14 27 30 25 15 22 10 7 3 4
"Afu1g14220" 2848 2706 2458 2026 2044 2528 2834 2994 2471 755 652 624
"Afu6g11460" 584 493 473 590 611 713 891 773 551 871 537 684
"Afu2g16150" 953 762 771 1129 1322 1367 1330 997 808 354 415 386
"Afu7g04620" 52 40 39 62 73 70 86 72 52 52 57 31
"Afu6g07800" 1455 1239 1228 1222 1484 1582 1301 1275 1028 1354 1131 1463
"Afu3g08730" 401 319 294 710 613 607 435 490 332 1730 1130 1802
"Afu1g15900" 1460 1235 1226 1773 1970 2072 1573 1426 1182 902 346 829
"Afu3g14160" 190 190 174 230 304 305 268 297 265 263 767 290
"Afu1g00130" 3 1 0 3 0 1 2 0 2 0 0 0
"Afu6g14180" 373 268 238 582 552 572 604 446 344 317 126 298
"Afu1g05290" 137 70 65 26 29 28 67 64 64 5 2 6
"Afu1g11910" 259 242 206 223 236 322 337 309 326 476 639 571
"Afu6g14370" 1509 1195 1196 656 668 824 1043 657 564 12238 17139 14197
"Afu3g05350" 27272 21198 21710 17059 21345 22005 20159 23795 19679 17919 21437 20201
"Afu7g01040" 13 8 10 360 289 308 22 43 23 496 189 520
"Afu4g03645" 222 232 221 289 245 268 271 223 192 154 84 144
"Afu5g02630" 141 333 314 88 68 96 2332 4854 3230 22 3 24
"Afu6g02710" 985 579 525 715 716 693 1160 1063 699 856 507 776
"Afu4g03890" 879 757 721 732 751 901 1010 976 808 772 496 902
"Afu6g02660" 198 162 157 241 218 237 302 200 174 281 150 241
"Afu4g01220" 1093 896 865 558 751 763 1221 898 749 135 40 115
"Afu2g09850" 2493 1844 1781 1528 1779 1526 1955 1771 1438 1029 315 938
"Afu6g03430" 975 1263 1102 177 175 168 2788 1960 1673 314 182 347
"Afu1g07050" 696 627 539 634 760 765 805 670 547 663 300 656
"Afu2g05400" 1030 762 793 428 507 535 588 613 504 394 209 378
"Afu6g00340" 3 1 9 112 164 167 12 12 10 134 273 122
"Afu3g09430" 1 2 0 0 0 0 1 0 1 0 2 1
"Afu1g02580" 1466 1414 1233 1476 1646 1843 1389 1319 1083 2648 6267 3853
"Afu5g01480" 29 25 28 23 22 33 42 35 26 11 8 3
"Afu3g11920" 244 192 183 184 214 220 188 141 144 276 24 232
"Afu5g00620" 1 5 3 1 3 1 3 1 2 2 4 1
"AfuMttC(GCA)4" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu4g11860" 316 292 254 402 388 450 437 369 281 735 462 614
"Afu3g12720" 147 152 156 40 69 56 178 126 120 23 5 9
"Afu5g12560" 414 263 265 776 708 684 841 474 351 627 78 381
"Afu2g18050" 110 86 84 37 51 51 188 51 82 3 15 5
"Afu6g10440" 738 550 541 536 588 607 508 499 392 3400 1119 2843
"Afu2g15550" 814 674 628 668 742 750 935 689 610 217 125 166
"Afu5g00480" 1 0 3 1 2 4 3 0 1 4 2 1
"Afu2g17860" 396 269 305 290 367 356 406 291 249 101 47 109
"Afu3g11460" 617 520 478 522 730 722 765 594 461 730 556 615
"Afu1g15840" 113 111 91 266 220 261 212 159 144 118 53 78
"Afu6g09530" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu7g05050" 75 33 24 4 4 4 27 15 5 20 4 10
"Afu1g15880" 752 667 614 1737 1648 1883 1241 927 728 1771 938 1806
"Afu3g12440" 27 32 26 17 32 33 50 24 29 32 16 22
"Afu3g05770" 239 204 189 295 328 362 205 210 158 88 175 92
"Afu1g11200" 555 421 404 428 475 467 602 488 443 905 952 943
"Afu1g04020" 917 839 663 1298 1354 1338 1051 912 684 1411 864 1252
"Afu4g11230" 564 499 448 911 824 865 786 588 426 314 179 211
"Afu2g16640" 160 139 143 321 284 231 266 184 116 598 195 476
"Afu2g07610" 93 106 74 85 73 91 180 132 115 60 53 55
"Afu3g12520" 4944 3185 3230 914 1020 984 680 753 679 1299 1722 1291
"Afu1g14000" 154 83 74 51 49 47 123 100 108 46 40 33
"Afu1g05120" 816 670 592 819 891 791 945 837 602 478 237 419
"Afu6g12380" 58 53 59 26 36 25 83 55 51 10 5 10
"Afu6g09360" 20 16 19 22 18 15 42 37 37 13 12 22
"Afu5g02770" 2854 2968 2444 530 705 683 3839 2163 2416 163 87 138
"Afu5g00720" 2120 1519 1756 4149 5104 4387 1682 2316 1389 1662 789 1485
"Afu1g12420" 1 3 6 3 2 2 5 1 3 0 0 1
"Afu3g10130" 675 589 527 897 885 970 582 519 455 1926 644 1934
"Afu4g14810" 986 1414 1114 96 189 145 2757 1931 1732 12 10 14
"Afu2g17515" 108 76 73 26 37 21 85 121 92 588 1045 568
"Afu1g06510" 253 288 231 317 344 350 333 286 251 553 354 678
"Afu1g15640" 1005 985 864 480 632 474 1486 1203 995 2291 2067 2014
"Afu6g00390" 317 262 255 116 151 154 170 137 124 128 123 108
"Afu6g10740" 38 36 39 53 73 48 70 57 59 16 8 18
"Afu4g14760" 9 9 15 3 2 7 35 23 21 0 1 0
"Afu6g14300" 1119 1022 999 2579 2688 2986 1158 1363 997 3851 4052 3809
"Afu2g07380" 518 347 354 223 228 212 335 365 320 75 36 62
"Afu3g08780" 837 650 590 1044 1111 1192 1126 845 693 363 254 239
"Afu5g14345" 2 2 3 7 3 6 5 3 3 1 0 2
"Afu2g10860" 2837 1958 2006 2673 3328 3070 3084 2661 2151 6276 8025 5611
"Afu6g11810" 15 14 11 20 18 28 18 23 11 1 0 2
"Afu1g06900" 1149 939 788 1288 1740 1667 1387 1115 908 1602 1406 1594
"Afu1g11900" 3258 2521 2331 2269 2847 2741 2950 2296 2167 3306 2657 3662
"Afu6g11250" 642 528 542 1020 1011 1053 865 724 616 1247 564 1017
"Afu6g10580" 150 151 121 175 151 170 144 119 100 32 20 27
"Afu8g02810" 1060 861 954 1246 1271 1449 1389 1137 989 1001 883 891
"Afu1g00880" 662 444 470 507 543 463 761 647 526 1172 1539 1233
"Afu1g00500" 2854 2726 2621 1956 2178 2271 3458 4256 2996 7336 10496 5931
"Afu5g12200" 380 280 237 418 415 436 604 358 338 111 59 108
"Afu5g00310" 59 54 48 36 28 46 113 96 106 5 0 2
"Afu5g09490" 1140 962 960 926 811 1010 1131 1134 956 793 460 755
"Afu5g12730" 9840 6330 6264 1154 1796 1606 2175 1858 1797 747 1075 688
"Afu5g08550" 2650 2020 2045 2398 3168 3024 2861 2662 2215 3810 2744 3991
"Afu7g00320" 34 38 38 213 181 202 55 36 22 173 66 172
"Afu4g03310" 58 40 49 117 107 110 81 83 67 187 91 190
"Afu4g09470" 112 144 143 12 10 15 360 136 151 14 92 17
"Afu6g03380" 28 72 53 32 22 46 214 104 117 15 17 12
"Afu2g01100" 172 411 366 85 97 132 348 326 273 106 71 118
"Afu4g00195" 449 604 502 867 698 1346 1105 559 750 82 70 61
"Afu3g14230" 3126 2331 2516 2066 2270 2446 2160 2500 2171 4727 4741 4493
"Afu3g03870" 0 0 2 3 1 4 2 0 0 2 5 2
"Afu4g10760" 602 524 460 663 727 764 796 676 523 252 116 176
"Afu1g09890" 2009 2034 2125 4327 4624 5412 4134 4270 3339 23150 42472 22548
"Afu5g13160" 51 37 31 429 526 472 146 106 90 79 7 33
"Afu3g03860" 3 9 11 18 7 9 14 22 7 5 0 4
"Afu7g04330" 694 590 557 468 570 496 1242 681 578 176 101 118
"Afu5g00320" 10 4 1 2 3 11 10 2 3 5 7 2
"Afu3g02090" 22 19 20 77 58 58 46 42 36 23 13 18
"Afu8g01270" 50 32 40 195 180 206 60 62 36 40 29 26
"Afu1g02685" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu1g10650" 620 596 560 1268 1631 1492 956 703 581 107 147 121
"Afu5g06240" 80906 54809 51912 1151 1220 940 6886 7824 7270 812 465 773
"Afu4g07500" 668 612 552 550 497 695 706 757 573 231 225 198
"Afu3g09780" 377 306 275 384 412 489 376 362 303 644 539 710
"Afu6g11380" 1904 1846 1746 2541 2715 3084 2267 2124 1713 1169 1157 1284
"Afu6g11785" 11 9 4 137 98 113 14 11 8 28 31 26
"Afu4g07710" 11615 10259 9721 12129 14796 15149 9149 9245 8437 5585 2283 4799
"Afu2g18060" 26 36 25 2 2 0 150 20 43 0 0 0
"Afu6g05320" 1762 1648 1531 2768 2771 3115 2150 2285 1752 1690 2026 1703
"Afu3g02380" 1417 1157 953 847 901 1081 1209 1108 952 1591 2744 1657
"Afu2g10390" 112 103 87 205 170 197 133 137 109 80 36 117
"Afu4g09590" 604 537 551 526 576 643 526 692 515 313 135 265
"Afu7g01450" 535 392 385 1553 1461 1556 1049 606 548 528 402 388
"Afu6g05240" 925 879 832 1721 1759 1979 1381 1195 999 1822 958 1804
"Afu8g02040" 401 356 345 288 225 254 204 604 386 77 39 83
"Afu1g09420" 617 504 495 479 567 486 734 634 517 809 618 878
"Afu2g13580" 373 274 279 1331 1066 1216 405 337 300 1919 1077 1573
"Afu2g18100" 25 6 4 2 2 1 11 4 2 5 9 2
"Afu2g11420" 45 40 47 100 115 135 76 71 67 59 40 53
"Afu5g05610" 668 473 418 925 918 1045 871 759 656 1256 1339 1216
"Afu3g07390" 172 118 103 51 68 57 105 83 81 25 8 19
"Afu2g03610" 4396 4364 3962 3879 3899 4451 5296 5774 4611 1805 2668 1302
"Afu2g01420" 61 51 44 71 35 43 70 62 43 58 85 60
"Afu4g09630" 292 275 214 437 457 499 519 409 329 495 251 519
"Afu2g04980" 1901 1603 1779 1935 2005 2196 2202 2927 2085 2565 2734 2753
"Afu7g05840" 50 44 34 79 50 57 89 47 51 35 3 28
"Afu2g05080" 1215 1070 986 1017 1352 1172 1533 1051 907 1311 680 1150
"Afu4g11170" 279 242 228 432 397 473 502 378 332 250 161 246
"Afu3g13270" 405 349 364 765 800 895 535 506 412 741 670 871
"Afu2g13150" 2781 2200 2144 391 412 426 732 781 706 174 93 159
"Afu6g06335" 1399 1102 1011 2282 2417 2407 2103 1800 1329 2455 1890 2197
"Afu3g00970" 79 73 59 0 2 2 217 114 128 3 14 6
"Afu3g10750" 1946 1770 1653 480 567 518 730 877 643 5742 3081 6089
"Afu3g09450" 2 4 5 9 5 5 5 1 2 7 6 5
"Afu8g05030" 276 250 224 458 433 528 222 258 185 1238 1013 1829
"Afu7g05860" 704 656 553 1161 1087 1054 872 738 658 2412 4499 1626
"Afu3g03230" 135 149 176 261 295 329 175 209 177 1306 6728 1276
"Afu6g07500" 175 125 113 301 265 274 401 333 212 478 790 384
"Afu1g02540" 2479 1981 1944 2489 3486 3179 2290 2105 1772 2863 1032 2767
"Afu7g00620" 0 1 0 2 0 0 0 0 0 0 0 1
"Afu2g04780" 624 554 482 405 443 487 636 744 536 311 249 221
"Afu4g01180" 1 1 0 3 1 0 1 0 0 0 0 0
"Afu1g05210" 2364 2040 1886 1821 2227 2340 2432 2043 1574 670 286 624
"Afu1g09340" 61 59 67 66 71 64 94 82 68 60 19 84
"Afu1g12140" 266 261 205 381 373 387 323 248 258 239 128 252
"Afu6g13110" 136 127 105 192 194 221 186 144 125 241 118 235
"Afu1g14550" 7379 6738 8315 88 103 79 732 3430 1983 106 95 104
"Afu2g06110" 1350 1241 1163 1410 1403 1588 1556 1359 1171 1026 667 970
"Afu2g05100" 127 135 122 32 26 31 133 129 105 13 37 8
"Afu1g17600" 0 0 0 0 0 1 0 0 0 1 0 0
"Afu8g00480" 1501 2481 2062 4388 3972 5305 13001 4802 5754 924 586 1400
"Afu1g11980" 577 451 417 488 433 498 637 528 484 334 172 267
"Afu5g13610" 439 414 341 549 518 641 594 477 412 260 181 193
"Afu3g06890" 1947 1568 1537 1779 1913 2174 2107 1948 1662 1545 778 1633
"Afu6g07080" 763 632 560 512 479 495 628 662 515 125 56 96
"Afu3g10820" 643 541 526 1015 1155 1222 734 508 474 122 32 86
"Afu4g04075" 435 380 367 455 446 544 464 512 418 115 28 86
"Afu3g08090" 848 856 771 883 939 1175 1092 1001 920 364 259 333
"Afu8g05975" 255 224 193 555 648 937 265 262 242 575 1088 691
"Afu1g01812" 558 547 490 72 51 55 1940 634 758 33 64 28
"Afu7g06990" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu4g12610" 300 251 222 349 343 389 491 432 366 146 37 105
"Afu5g09330" 992 541 491 65 93 64 497 1054 820 225 189 195
"Afu6g12580" 3135 2716 2638 5700 5441 6356 5051 4045 3360 1719 735 1691
"Afu1g12710" 14 13 10 22 19 15 27 18 15 12 16 14
"Afu3g03880" 0 0 0 0 2 3 0 1 1 3 0 5
"Afu7g01950" 231 222 201 383 371 431 502 376 335 651 321 558
"Afu6g11470" 508 531 454 608 561 597 1017 629 578 783 283 718
"Afu8g05010" 1096 761 926 1361 1397 1537 1682 1791 1329 632 89 470
"Afu6g11030" 7 5 6 12 10 11 10 6 5 3 3 3
"Afu3g10050" 289 231 214 280 329 316 458 328 258 284 151 258
"Afu4g08240" 327 268 262 150 163 152 316 448 270 801 1184 569
"Afu1g13960" 441 374 315 426 423 387 425 379 304 573 232 659
"Afu7g06930" 1 0 0 0 0 0 1 0 0 0 0 0
"Afu5g14180" 92 104 65 67 77 64 104 69 63 590 522 573
"Afu5g12780" 579 558 484 231 208 232 627 538 510 1518 1974 1405
"Afu5g07480" 2147 2082 1977 847 1169 967 1436 1458 1187 970 916 890
"Afu2g11610" 3 0 2 15 5 7 0 2 2 4 1 4
"Afu1g06610" 2184 1889 1841 199 240 223 2477 2585 1977 169 78 112
"Afu2g17290" 25 101 95 962 908 1574 316 1525 786 678 1335 1122
"Afu6g10590" 2965 1880 1967 2060 2483 2260 2806 2473 1957 3625 3720 3360
"Afu4g12990" 1754 2001 1768 2498 2553 2727 2558 1627 1225 47430 56892 52321
"Afu2g02220" 1518 1172 1151 1803 2260 2144 2426 1887 1611 3070 1833 2883
"Afu1g02680" 1322 1226 1103 918 1114 1138 1128 1148 984 682 947 639
"Afu2g13340" 159 152 166 103 127 111 158 114 111 265 135 293
"Afu1g04530" 7308 6639 6342 3175 3200 3562 6466 7051 5546 1218 477 944
"Afu4g12700" 2567 3329 3532 8950 8913 9131 4742 3425 2434 1585 399 1332
"Afu5g08260" 18 17 13 15 16 19 24 15 33 3 8 7
"Afu6g07920" 62 58 70 277 221 320 103 284 163 134 150 158
"Afu5g10140" 10 4 4 9 10 13 4 5 4 43 25 37
"Afu4g14570" 3 9 4 5 2 3 12 8 9 2 1 1
"Afu3g12480" 832 679 686 989 1029 980 1275 962 781 487 205 443
"Afu2g10850" 1164 992 865 1555 1818 1876 942 996 791 866 302 767
"Afu1g12332" 2876 2309 2233 2354 3859 3454 2812 2539 2079 3366 2606 3097
"Afu7g02510" 651 609 528 541 500 497 696 614 514 296 52 235
"Afu4g10090" 530 490 395 161 188 182 1047 510 561 162 320 169
"Afu3g08140" 773 690 618 582 586 609 914 769 702 649 292 665
"Afu4g01290" 30842 30472 29190 8523 10237 9705 46276 23674 25717 1561 522 1466
"Afu3g01670" 214 94 99 219 226 211 151 131 102 40 22 34
"Afu3g11390" 2263 2051 2045 2154 2050 2419 2573 2561 2058 3716 2093 3897
"Afu6g02160" 350 320 265 226 188 222 409 357 298 53 51 31
"Afu4g14510" 5 19 13 9 5 19 64 24 34 11 33 9
"Afu1g17350" 5379 2597 2471 1635 2182 1947 2497 1838 1766 1338 2368 1651
"Afu3g09050" 494 491 382 526 494 526 1030 687 561 168 97 126
"Afu7g02180" 3360 2790 2798 2729 3000 3292 4271 2812 2650 1111 310 996
"Afu1g01190" 17 9 7 72 65 79 40 25 32 48 48 39
"Afu1g11340" 6 2 4 11 11 12 3 3 2 5 7 2
"Afu6g11400" 1069 992 937 1761 1908 1981 1638 1426 1189 3047 2716 2859
"Afu6g12420" 721 603 597 407 467 445 809 631 557 185 475 159
"Afu4g14840" 524 715 597 80 106 71 1741 1370 1094 3 5 6
"Afu4g05850" 527 475 383 723 559 632 892 696 549 595 388 502
"Afu2g08920" 176 181 163 137 121 106 241 168 168 372 303 357
"Afu1g17220" 4 3 6 22 25 29 7 5 0 22 16 15
"Afu8g01790" 3 2 2 13 16 11 0 1 1 2 2 1
"Afu2g05600" 160 178 163 117 108 116 243 166 147 60 24 45
"Afu6g14000" 1282 977 605 14 13 12 432 163 266 4 6 6
"Afu2g03420" 2025 2019 1844 1779 1768 1994 2192 2178 1806 1382 1108 1411
"Afu2g09990" 1764 1208 1181 1205 1490 1380 2292 1817 1486 4968 5515 4474
"Afu1g04410" 532 431 425 758 802 921 744 749 591 901 675 930
"Afu8g05630" 4984 3446 3638 3614 4623 4563 4938 4483 3567 2598 2847 2318
"Afu5g13710" 3153 2147 2134 3265 3815 4152 2525 3350 2483 3253 2807 3747
"Afu8g05650" 3494 2642 2414 2509 2856 2875 5620 2756 2601 2340 452 2139
"Afu6g03770" 1851 1659 1572 2504 2920 2923 1922 1684 1336 3129 3531 2922
"Afu1g07430" 1425 1424 1213 737 692 832 2815 1633 1587 257 111 240
"Afu1g06130" 16 23 8 171 149 173 42 17 19 111 158 62
"Afu6g08780" 202 167 163 692 562 664 246 266 244 1527 1474 1912
"Afu2g09480" 794 413 367 357 430 388 442 554 481 816 1642 839
"Afu1g00550" 279 291 242 198 193 224 457 282 321 197 422 141
"Afu2g02430" 2232 1679 1524 1994 2201 2130 2070 1948 1566 4753 3564 4747
"Afu3g07930" 780 1022 777 360 321 382 1887 953 1156 294 75 228
"Afu6g09130" 225 229 206 219 213 257 209 246 193 78 40 66
"Afu1g16950" 212 192 188 382 333 354 412 273 209 368 158 273
"Afu2g11040" 809 736 603 598 693 695 833 779 806 3806 13234 2871
"Afu1g04780" 607 501 469 807 795 825 1055 748 620 579 160 518
"Afu6g01800" 45 24 22 7 13 10 39 45 26 14 13 10
"Afu6g09660" 128 1788 2000 20 50 9 5943 1988 1063 18 22 15
"Afu6g04570" 11511 10210 9877 12034 13041 14402 12631 13131 11141 3795 2638 3436
"Afu1g03215" 1 1 0 7 9 6 1 2 2 2 7 5
"Afu1g15000" 2081 1842 1789 3858 3824 4803 2601 3396 2692 4572 2686 4343
"Afu8g00580" 2625 4296 3633 11944 10233 13940 20631 11054 10934 2007 1230 2807
"Afu3g14710" 105 139 149 31 23 31 38 85 59 79 58 81
"Afu3g03315" 101 89 65 41 45 44 76 101 67 49 44 34
"Afu7g06900" 42 30 26 16 19 20 36 15 21 21 10 11
"Afu8g05710" 635 384 339 325 322 224 427 306 232 584 280 393
"Afu8g02130" 334 357 374 543 717 656 639 618 498 209 146 201
"Afu6g08050" 17873 15258 14414 18115 18457 20078 12808 12835 11142 19400 7967 21066
"Afu2g03680" 1571 1145 1216 1003 1133 1114 1615 1165 966 627 1135 758
"Afu3g02460" 16 13 20 21 44 30 33 24 33 79 507 94
"Afu2g16170" 533 509 454 385 287 416 442 505 428 240 137 236
"Afu1g14940" 1884 1480 1293 1856 1903 1917 1968 1819 1510 1427 513 1271
"Afu7g04950" 21 41 40 61 62 65 13 21 9 229 298 265
"Afu1g03390" 8706 8187 7696 4934 4735 5218 8084 9449 7221 1256 584 868
"Afu4g03760" 2387 1944 1824 1962 2186 2643 4325 3366 2809 409 240 414
